en;nl;fr;de;sv;pl
Warning! All quotations with status 'concept' will be changed to status 'archived'. Archived quotations can not be edited. However, it is possible to copy the archived quotation.;Waarschuwing! Alle offertes met status 'concept' worden gewijzigd in status 'gearchiveerd'. Gearchiveerde offertes kunnen niet worden bewerkt. Het is echter mogelijk om de gearchiveerde offerte te kopiëren.;Attention ! Toutes les devis avec le statut ""concept"" seront changés en statut ""archivé"". Les devis archivés ne peuvent pas être modifiés. Cependant, il est possible de copier les devis archivée.;Achtung! Alle Angebote mit dem Status ""Konzept"" werden in den Status ""archiviert"" geändert. Archivierte Angebote können nicht bearbeitet werden. Es ist jedoch möglich, das archivierte Angebot zu kopieren.;Varning! Alla offerter med status ""concept"" kommer att ändras till status ""archived"". Arkiverade offerter kan inte redigeras. Det är dock möjligt att kopiera den arkiverade offerten.;Ostrzeżenie! Wszystkie oferty ze statusem ""koncept"" zostaną zmienione na status ""zarchiwizowane"". Zarchiwizowanych ofert nie można edytować. Istnieje jednak możliwość skopiowania zarchiwizowanej oferty.
Open;Openen;Ouvrir;öffnen;Öppna;Otwórz
Edit hotspot;Hotspot bewerken;Modifier le hotspot;Hotspot bearbeiten;Redigera hotspot;Edytuj hotspot
Select feature;Selecteer feature;Sélectionner une fonction;Funktion auswählen;Välj funktion;Wybierz wyposażenie
No features have been selected. All features will be displayed in this step.;Er zijn geen features geselecteerd. In deze stap worden alle features weergegeven.;Aucune caractéristique n'a été sélectionnée. Toutes les caractéristiques seront affichées dans cette étape.;Es wurden noch keine Funktionen ausgewählt. In diesem Schritt werden alle Funktionen angezeigt.;Inga funktioner har valts. Alla funktioner visas i det här steget.;Nie wybrano żadnych elementów. W tym kroku zostaną wyświetlone wszystkie elementy.
Add visible feature;Zichtbare feature toevoegen;Ajouter une fonction visible;Sichtbare Funktion hinzufügen;Lägg till synlig funktion;Dodaj widoczny element
Add feature;Feature toevoegen;Ajouter une fonction;Funktion hinzufügen;Lägg till funktion;Dodaj element
Edit image;Bewerk afbeelding;Modifier l'image;Bild bearbeiten;Redigera bild;Edytuj obraz
Objects attached to;Objecten vastgemaakt aan;Objets attachés à;Objekte, die verbunden sind mit;Objekt som är kopplade till;Obikety dołączone do
Object name;Objectnaam;Nom de l'objet;Objektname;Objektnamn;Nazwa obiektu
Hidden object name;Verborgen objectnaam;Nom de l'objet caché;Verborgener Objektname;Dolt objektnamn;Ukryta nazwa obiektu
Are you sure you want to delete this step?;Weet je zeker dat je deze stap wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette étape ?;Sind Sie sicher, dass Sie diesen Schritt löschen wollen?;Är du säker på att du vill ta bort det här steget?;Czy na pewno chesz usunąć ten krok?
Title;Titel;Titre;Titel;Titel;Tytuł
Yes;Ja;Oui;Ja;Ja;Tak
No;Nee;Non;Nein;Nej;Nie
Add step;Stap toevoegen;Ajouter une étape;Schritt hinzufügen;Lägg till ett steg;Dodaj krok
Step icon;Stap icoon;Icône de l'étape;Schritt-Symbol;Stegikon;Ikona kroku
Hotspots;Hotspots;Hotspots;Hotspots;Hotspots;Hotspots
Linked configuration models;Gekoppelde configuratiemodellen;Modèles de configuration liés;Verlinkte Konfigurationsmodelle;Länkade konfigurationsmodeller;Połączone modele konfiguracji
Remove;Verwijderen;Supprimer;Entfernen;Ta bort;Usuń
Configuration starting values allow you to override the default values of features in a linked configuration model, based on the value of a feature in the parent configuration.;Met beginwaarden voor configuratie kunt u de standaardwaarden van features in een gekoppeld configuratiemodel overschrijven, op basis van de waarde van een feature in de bovenliggende configuratie.;Les valeurs de départ de la configuration vous permettent de remplacer les valeurs par défaut des fonctionnalités dans un modèle de configuration lié, en fonction de la valeur d'une fonctionnalité dans la configuration parente.;Konfigurationsstartwerte ermöglichen es Ihnen, die Standardwerte von Funktionen in einem verlinkten Konfigurationsmodell zu überschreiben, basierend auf dem Wert einer Funktion in der Hauptkonfiguration.;Med Konfigurationsstartvärden kan du ersätta grundvärdena för funktioner i en länkad konfigurationsmodell, baserat på en funktion i den huvudkonfigurationen.;Początkowe wartości konfiguracji umożliwiają zastąpienie domyślnych wartości obiektów w połączonym modelu konfiguracji na podstawie wartości elementu w konfiguracji nadrzędnej.
Configuration starting values;Configuratie startwaarden;Valeurs de départ de la configuration;Startwerte der Konfiguration;Startvärden för konfigurationen;Początkowe wartości konfiguracji
No configuration starting values defined;Geen beginwaarden voor configuratie gedefinieerd;Aucune valeur de départ de configuration définie;Keine Startwerte für die Konfiguration definiert;Inga konfigurationsstartvärden definierade;Nie zdefiniowano żadnych początkowych wartości konfiguracji
Add starting value;Voeg beginwaarde toe;Ajouter une valeur de départ;Startwert hinzufügen;Lägg till startvärde;Dodaj wartość początkową
Changes made in the Quotation are overwritten in Order Entry. Do you want to continue?;Wijzigingen in de offerte worden overschreven in Order Entry. Wilt u doorgaan?;Les modifications apportées a les devis sont écrasées dans la saisie de la commande. Voulez-vous continuer ?;Die im Angebot vorgenommenen Änderungen werden in der Auftragseingabe überschrieben. Möchten Sie fortfahren?;Ändringar som görs i offerten överskrivs i orderingången. Vill du fortsätta?;Zmiany dokonane w Ofercie są nadpisywane przy wejściu do Zamówień. Czy chcesz kontynuować?
Are you sure you want to add your configuration to a quotation?;Weet u zeker dat u uw configuratie aan een offerte wilt toevoegen?;Êtes-vous sûr de vouloir ajouter votre configuration à un devis ?;Sind Sie sicher, dass Sie Ihre Konfiguration zu einem Angebot hinzufügen möchten?;Är du säker på att du vill lägga till din konfiguration i en offert?;Czy na pewno chesz dodać konfigurację do oferty?
Confirm Action;Bevestig actie;Confirmer l'action;Aktion bestätigen;Bekräfta åtgärd;Potwierdź akcję
Discount lines;Kortingsregels;Lignes d'escompte;Rabattlinien;Rabatterade rader;Linie rabatu
From;Vanaf;Depuis;Von;Från;Od
Download PDF;Download PDF;Télécharger le PDF;PDF herunterladen;Ladda ner PDF;Pobierz plik PDF
Attach to quotation;Toevoegen aan offerte;Joindre au devis;Zum Angebot anhängen;Bifoga till offert;Dołącz do oferty
Download DOCX;Download DOCX;Télécharger DOCX;DOCX herunterladen;Ladda ner DOCX;Pobierz plik DOCX
Generate pdf;PDF genereren;Générer pdf;PDF generieren;Generera pdf;Generuj plik PDF
Generate docx;DOCX genereren;Générer docx;DOCX generieren;Generera docx;Generuj plik DOCX
Pending;In afwachting;En attente;In bearbeitung;I väntan på;W trakcie realizacji
Unanswered mandatories;Onbeantwoorde vereisten;Mandats sans réponse;Unbeantwortete Verpflichtungen;Obesvarade uppdrag;Obowiązkowe zlecenia bez odpowiedzi
Use existing feature;Gebruik bestaande feature;Utiliser une fonctionnalité existante;Bestehende Funktion verwenden;Använd befintlig funktion;Użyj istniejącego obiektu
Create new feature;Nieuwe feature aanmaken;Créer une nouvelle fonctionnalité;Neues Funktion erstellen;Skapa en ny funktion;Stwórz nowy obiekt
Text expression;Tekst expressie;Expression textuelle;Text-Ausdruck;Textuttryck;Wyrażenie tekstowe
Display text value;Tekstwaarde weergeven;Afficher la valeur du texte;Textwert anzeigen;Visa textvärde;Wyświetlanie wartości tekstowej
Pre-configuration;Voor-configuratie;Préconfiguration;Vorkonfiguration;Förkonfiguration;Konfiguracja wstępna
Select feature(s);Selecteer feature(s);Sélectionner une ou plusieurs caractéristiques;Funktion(en) auswählen;Välj funktion(er);Wybierz elememt/y
Export;Exporteren;Exporter;Exportieren;Exportera;Exportuj
Apply discount;Korting toepassen;Appliquer une remise;Rabatt anwenden;Tillämpa rabatt;Zastosuj rabat
Apply on ex. VAT;Toepassen op ex. BTW;Appliquer sur ex. TVA;Anwenden auf ex. MWST.;Tillämpa på ex. MOMS;Zastosuj do ex. VAT
Discount Amount;Kortingsbedrag;Montant de la remise;Rabatt-Betrag;Rabattbelopp;Kwota rabatu
Discount Percentage;Kortingspercentage;Pourcentage de la remise;Rabatt-Prozentsatz;Procentuell rabatt;Procent rabatu
Edit permissions;Bewerk rechten;Modifier les autorisations;Berechtigungen bearbeiten;Redigera behörigheter;Edytuj uprawnienia
Manage billing;Facturatie beheren;Gérer la facturation;Fakturierung verwalten;Hantera fakturering;Zarządzaj rozliczeniami
Submit quotation;Offerte indienen;Soumettre un devis;Angebot einreichen;Lämna offert;Prześlij ofertę
Accept quotation;Offerte accepteren;Accepter les devis;Angebot annehmen;Godkänn offert;Zaakceptuj ofertę
Verify quotation;Offerte verifiëren;Vérifier les devis;Angebot prüfen;Kontrollera offert;Zweryfikuj ofertę
Sales Price;Verkoopprijs;Prix de vente;Verkaufspreis;Försäljningspris;Cena sprzedaży
Allow Elfsquad support access;Toegang verlenen tot Elfsquad support;Autoriser l'accès au support Elfsquad;Elfsquad-Support Zugang gewähren;Tillåt Elfsquad support att få tillgång till;Zezwól na dostęp do pomocy technicznej Elfsquad
Add new user;Nieuwe gebruiker toevoegen;Ajouter un nouvel utilisateur;Neuen Benutzer hinzufügen;Lägg till en ny användare;Dodaj nowego użytkownika
Is admin;Is beheerder;Est admin;Ist Administrator;Är administratör;Jest adminem
Require two factor authentication;Vereis twee-stap authenticatie;Requiert une authentification à deux facteurs;Verlangt Zwei-Faktor-Authentifizierung;Kräver tvåfaktorsautentisering;Wymaga uwierzytelnienia dwuskładnikowego
Are you sure you want to delete this quotation;Weet u zeker dat u deze offerte wilt verwijderen;Êtes-vous sûr de vouloir supprimer cette devis;Sind Sie sicher, dass Sie dieses Angebot löschen möchten?;Är du säker på att du vill ta bort offerten?;Czy na pewno chcesz usunąć tą ofertę?
Delete Quotation;Offerte verwijderen;Supprimer le devis;Angebot löschen;Ta bort offert;Usuń ofertę
Select sub-organization;Selecteer sub-organisatie;Sélectionnez une sous-organisation;Sub-Organisation auswählen;Välj sub-organisation;Wybierz spółkę 
Default locale;Standaard taal;Localité par défaut;Standard-Lokalisierung;Standardlokal;Domyślne ustawienia regionalne
Custom new user mail;Aangepaste nieuwe gebruikersmail;Courrier personnalisé pour les nouveaux utilisateurs;Benutzerdefinierte Mail für neue Benutzer;E-post för nya användare;Niestandardowa poczta nowego użytkownika
Workflow;Werkstroom;Flux de travail;Workflow;Arbetsflöde;Przepływ pracy
Add new status;Nieuwe status toevoegen;Ajouter un nouveau statut;Neuen Status hinzufügen;Add new status;Dodaj nowy status
Allowed quotation seller actions;Toegestane offerte verkopersacties;Actions autorisées du vendeur de devis;Erlaubte Verkäuferaktionen für Angebote;Tillåtna åtgärder för offertsäljare;Dozwolone działania dla sprzedawców ofert
Display Overview button in last step;Toon overzichtknop in laatste stap;Afficher le bouton Aperçu dans la dernière étape;Übersichtsschaltfläche im letzten Schritt anzeigen;Visa översiktsknappen i sista steget;Wyświetl przycisk Podgląd w ostatnik kroku
Background image which is displayed at the welcome page. This image is displayed when the YouTube url is not set;Achtergrondafbeelding die wordt weergegeven op de welkomstpagina. Deze afbeelding wordt getoond wanneer de YouTube-url niet is ingesteld;Image de fond qui est affichée sur la page d'accueil. Cette image est affichée lorsque l'url de YouTube n'est pas définie.;Hintergrundbild, das auf der Willkommensseite angezeigt wird. Dieses Bild wird angezeigt, wenn die YouTube-Url nicht gesetzt ist.;Bakgrundsbild som visas på välkomstsidan. Bilden visas när YouTube-adressen inte är inställd.;Obraz tła, który jest wyświetlany na stronie powitalnej. Ten obraz jest wyświetlany, gdy adres URL YouTube nie jest ustawiony
YouTube video which is displayed at the welcome page. Only the video ID should be pasted here, which means that if the url is <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> the ID is <code>dQw4w9WgXcQ</code>. If no YouTube video is set, the background will be displayed by default.;YouTube-video die wordt weergegeven op de welkomstpagina. Alleen de video-ID moet hier worden ingevoerd, dus als de url <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> is, is de ID <code>dQw4w9WgXcQ</code>. Als er geen YouTube-video is ingesteld, wordt de achtergrond standaard getoond.;La vidéo YouTube qui est affichée sur la page d'accueil. Seul l'ID de la vidéo doit être collé ici, ce qui signifie que si l'url est <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> l'ID est <code>dQw4w9WgXcQ</code>. Si aucune vidéo YouTube n'est définie, l'arrière-plan sera affiché par défaut.;Hier bedeutet das, dass wenn die Url lautet: <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> the ID is <code>dQw4w9WgXcQ</code>. Wenn kein YouTube-Video eingestellt ist, wird standardmäßig der Hintergrund angezeigt.;;Film z YouTube, który jest wyświetlany na stronie powitalnej. W tym miejscu należy wkleić tylko identyfikator wideo, co oznacza, że jeśli adres URL jest <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code>, identyfikator to <code>dQw4w9WgXcQ</code>. Jeśli nie ustawiono żadnego filmu z YouTube, tło będzie wyświetlane domyślnie.
Enable 3D footprint;3D-voetafdruk inschakelen;Activation de l'empreinte 3D;3D-Fußabdruck aktivieren;Aktivera 3D-avtryck;Włącz ślad 3D
Enable 3D labels;3D-labels inschakelen;Activer les étiquettes 3D;3D-Beschriftungen aktivieren;Aktivera 3D-etiketter;Włącz etykiety 3D
Click to create a new quotation condition;Klik om een eigenschap aan te maken;Cliquez pour créer une nouvelle condition de devis;Klicken Sie, um eine neue Angebotskondition zu erstellen;Skapa ett nytt offertvillkor genom att klicka här.;Kliknij, aby utworzyć nowy warunek oferty
Upvalue;Meerprijs;Valoriser;Aufwertung;Uppvärdera;Zwiększenie wartości
Link;Link;Lier;Link;Link;Link
Create quote;Offerte aanmaken;Créer un devis;Angebot erstellen;Skapa offert;Stwórz ofertę
Search in docs;Zoeken in documentatie;Recherche dans les documents;in Dokumenten suchen;Sök i dokumenten;Wyszkaj w docs
New quotation created;Nieuwe offerte aangemaakt;Nouveau devis créé;Neues Angebot erstellt ;Ny offert skapad;Nowa oferta stworzona
Options for 3D Mapping;Opties voor 3D-toewijzing;Options pour la cartographie 3D;Optionen für 3D Mapping;Alternativ för 3D-mappning;Opcje mapowania 3D
Convert 3D Mapping to Features;Converteer 3D-toewijzing voor Features;Convertir la cartographie 3D en caractéristiques;3D-Mapping in Funktionen konvertieren;Konvertera 3D-mappning till funktioner;Konwertuj mapowanie 3D do elementów
Remove 3D Mapping from Features;Verwijder 3D-toewijzing van Features;Supprimer le mappage 3D des caractéristiques;3D-Mapping aus Funktionen entfernen;Ta bort 3D-mappning från funktioner;Usuń mapowanie 3D z elementów
Convert 3D Mapping to Nodes;Converteer 3D-toewijzing voor Nodes;Convertir le mappage 3D en nœuds;3D-Mapping in Nodes konvertieren;Konvertera 3D-mappning till noder;Konwertuj mapowanie 3D do kart
Remove 3D Mapping from Nodes;Verwijder 3D-toewijzing van Nodes;Supprimer le mappage 3D des nœuds;3D-Mapping aus Nodes entfernen;Ta bort 3D-mappning från noder;Usuń mapowanie 3D z kart
Total assigned 3D objects to Features:;Totaal toegewezen 3D-objecten aan Features:;Total des objets 3D attribués aux caractéristiques :;Gesamtzahl der den Funktionen zugewiesenen 3D-Objekte:;Totalt tilldelade 3D-objekt till funktioner:;Łączna ilość przypisanych obiektów 3D do elementów:
Total assigned 3D objects to Nodes:;Totaal toegewezen 3D-objecten aan Nodes:;Total des objets 3D assignés aux nœuds :;Gesamtzahl der den Nodes zugewiesenen 3D-Objekte:;Totalt antal 3D-objekt som fördelats till noder:;Łączna ilość przypisanych obiektów 3D do kart:
Current:;Huidig:;Actuel :;Aktuell:;Nuvarande:;Aktualny:
CoC number;KvK-nummer;Numéro de CdC;CoC-Nummer;CoC-nummer;Numer REGON
Undo your last action by:;Ga terug naar je vorige actie:;Annulez votre dernière action en :;Ihre letzte Aktion rückgängig machen durch:;Ångra din senaste åtgärd genom att:;Cofnij ostatnią czynność, wykonując następujące czynności:
1. Deselecting the Feature you selected last.;1. Deselecteer de Feature, die als laatst is geselecteerd.;1. Désélectionnant l'élément que vous avez sélectionné en dernier.;1. Aufhebung der Auswahl des zuletzt ausgewählten Funktion;1. Ta bort valet av den funktion som du valde sist.;1. Usuń zaznaczenie ostatnio wybranego elementu
2. Selecting an alternative to the Feature you selected last.;2. Selecteer een andere alternatief voor het laatste geselecteerde Feature.;2. En sélectionnant une autre fonction que celle que vous avez sélectionnée en dernier.;2. Auswahl einer Alternative zu dem zuletzt ausgewählten Funktion;2. Välja ett alternativ till den funktion du valde sist.;2. Wybierz alternatywny element dla ostatniego wybranego elementu
This could be caused by a change in the parent configuration.;Dit kan veroorzaakt zijn door een verandering in de bovenliggende configuratie.;Cela peut être dû à une modification de la configuration parentale.;Dies kann durch eine Änderung in der Hauptkonfiguration verursacht werden.;Detta kan orsakas av en ändring i den överordnade konfigurationen.;Może to być spowodowane zmianą konfiguracji nadrzędnej.
You are pasting a root node. You must choose a relationship type for this node.;Je plakt een root node. Je moet een relatietype kiezen voor deze node.;Vous collez un nœud racine. Vous devez choisir un type de relation pour ce nœud.;Sie fügen einen Root-Knoten ein. Sie müssen einen Beziehungstyp für diesen Knoten auswählen.;Du klistrar in en rotnod. Du måste välja en relationstyp för den här noden.;Wklejasz kartę główną. Należy wybrać typ relacji dla tej karty.
Paste operation has been cancelled.;Plakken is geannuleerd.;L'opération de collage a été annulée.;Der Einfügevorgang wurde abgebrochen.;Inklistringsoperationen har avbrutits.;Operacja wklejania została anulowana.
Retrieving Linked Models for Hierarchy...;Ophalen van linked models voor hiërarchie;Récupération des modèles liés pour la hiérarchie...;Abrufen von gekoppelten Modellen für Hierarchien...;Hämta länkade modeller för hierarki...;Pobieranie połączonych modeli dla hierarchii...
Publishing all linked models?;Alle linked modellen publiceren?;Publier tous les modèles liés ?;Alle verlinkten Modelle veröffentlichen?;Publicera alla länkade modeller?;Publikować wszystkie powiązane modele?
Publishing all linked models...;Publiceer alle linked modellen...;Publier tous les modèles liés...;Alle verlinkten Modelle veröffentlichen...;Publicera alla länkade modeller...;Publikowanie wszystkich powiąznaych modeli...
Unit Price;Stukprijs;Prix unitaire;Stückpreis / Einzelpreis;Pris per enhet;Cena jednostkowa
Unit price;Eenheid prijs;Prix unitaire;Preis pro Einheit;Pris per enhet;Cena jednostkowa
will publish all linked models that haven't been released yet.;Dit publiceer alle linked modellen, die niet zijn publiek zijn.;publiera tous les modèles liés qui n'ont pas encore été publiés.;wird alle verlinkten Modelle veröffentlichen, die noch nicht freigegeben wurden.;publicerar alla länkade modeller som inte har släppts ännu.;opublikuje wszystkie powiązane modele, które nie zostały jeszcze wypuszczone.
Are you sure you want to continue?;Weet je zeker dat je verder wilt gaan?;Êtes-vous sûr de vouloir continuer ?;Sind Sie sicher, dass Sie weitermachen wollen?;Är du säker på att du vill fortsätta?;Jesteś pewny/a, że chcesz kontynuować?
Please wait while your configuration model is being published.;Wacht a.u.b. totdat het configuratie model is gepubliceerd.;Veuillez patienter pendant que votre modèle de configuration est publié.;Bitte warten Sie, während Ihr Konfigurationsmodell veröffentlicht wird.;Vänta medan din konfigurationsmodell publiceras.;Proszę poczekaj na opublikowanie modelu konfiguracji.
Publishing Linked configuration models;Publiceer linked configuratie modellen;Publication de modèles de configuration liés;Verlinkte Konfigurationsmodelle publizieren;Publicera länkade konfigurationsmodeller;Publikowanie powiąznaych modeli konfiguracji
Your current configuration model contains linked models.;Het configuratie model bevat linked modellen;Votre modèle de configuration actuel contient des modèles liés.;Ihr aktuelles Konfigurationsmodell enthält verlinkte Modelle.;Din nuvarande konfigurationsmodell innehåller länkade modeller.;Bieżący model konfiguracji zawiera modele połączone.
If a linked model is never been published as production, it will get errors in the order entry or showroom.;Als een linked model nog nooit is gepubliceerd in productie, dan zie je errormeldingen in de Order Entry of showroom.;Si un modèle lié n'a jamais été publié en tant que production, des erreurs apparaîtront dans l'entrée de commande ou le showroom.;Wenn ein verlinktes Modell noch nie als Produktion veröffentlicht wurde, wird es in der Auftragserfassung oder im Showroom fehlerhaft angezeigt.;Om en länkad modell aldrig har publicerats som produktion kommer den att få fel i orderingången eller showroomet.;Jeśli powiązany model nigdy nie zostanie opublikowany jako produkcja, będzie on zawierał błędy we wprowadzeniu zamówienia lub showroom.
Please check if all linked models are published.;Bekijk a.u.b. of alle linked modellen zijn gepubliceerd in productie.;Veuillez vérifier si tous les modèles liés sont publiés.;Bitte prüfen Sie, ob alle verlinkten Modelle publiziert sind.;Kontrollera om alla länkade modeller är publicerade.;Proszę sprawdź, czy wszystkie powiązane modele są opublikowane.
Linked Model hierarchy of;Linked model hiërarchie van;Hiérarchie des modèles liés;Verlinkte Modellhierarchie von;Kopplad modellhierarki av;Połączona hierarchia modeli
Last Published;Gepubliceerd op;Dernière publication;Zuletzt publiziert;Senast publicerad;Ostatnio opublikowane
Never published;Niet gepubliceerd;Jamais publié;Nie publiziert;Aldrig publicerad;Nigdy niepublikowane
This linked model doesn't have any published versions in Production and it will cause errors in the order entry or showroom.;Dit linked model heeft geen publicaties in Productie, dit zal voor errormeldingen zorgen in de order entry of showroom.;Ce modèle lié n'a pas de version publiée en Production et il provoquera des erreurs dans l'entrée des commandes ou le showroom.;Dieses verlinkte Modell hat keine publizierten Versionen in der Produktion und führt zu Fehlern in der Auftragseingabe oder im Showroom.;Den här länkade modellen har inga publicerade versioner i produktion och det kommer att uppstå fel i orderingången eller showroomet.;Ten powiązany model nie ma żadnych opublikowanych wersji w Produkcji i spowoduje błędy we wprowadzaniu zamówienia lub showroom.
This linked model does have published versions in Production, but the latest version is not in Production.;Dit linked model heeft publicaties in Productie, maar de laatste versie is in Preview.;Ce modèle lié a des versions publiées en production, mais la dernière version n'est pas en production.;Dieses verlinkte Modell hat zwar publizierte Versionen in der Produktion, aber die neueste Version ist nicht in der Produktion.;Den här länkade modellen har publicerade versioner i produktionen, men den senaste versionen finns inte i produktionen.;Ten połączony model ma opublikowane wersje w Produkcja, ale najnowsza wersja nie znajduje się w Produkcji.
This linked model does have published versions in Production and the latest version is in Production.;Dit linked model heeft publicaties in Productie en de laatste is ook in Productie.;Ce modèle lié a des versions publiées en production et la dernière version est en production.;Dieses verlinkte Modell hat bereits publizierte Versionen in der Produktion und die neueste Version ist in der Produktion.;Den här länkade modellen har publicerade versioner i produktionen och den senaste versionen finns i produktionen.;Ten połączony model ma opublikowane wersje w Produkcji, a najnowsza wersja jest w Produkcji.
Combine into quotation group;Combineer in quotation groep;;;;
This combines all instances of this linked model into the parent quotation group.;Dit combineert alle instanties van dit linked model in the parent quotation group.;;;;
The multiplier can not be used in combination with the combine into quotation group option.;De multiplier kan niet i.c.m. de combineer in quotation group optie.;;;;
The combine into quotation group option can not be used in combination with the multiplier option.;De combineer in quotation groep optie kan niet i.c.m. de multiplier gebruikt worden.;;;;
All of the steps are hidden in the ;Alle stappen zijn verborgen in de ;;;;
the;de;;;;
Click or drag a 3D model file to this area to upload; Klik of sleep hier een 3D model voor het uploaden;;;;
Maximum file size:;Maximale bestandsgrootte:;;;;
Supported file extensions:;Ondersteunende file extensies:;;;;
Manage table preferences;Beheer tabeleigenschappen;;;;
Enable overview page;Overzichtspagina inschakelen;;;;
Adds an overview page which users will see before going to the checkout page.;Voegt een overzichtspagina toe die gebruikers te zien krijgen voordat ze naar de afrekenpagina gaan.;;;;
Input field;Invoerveld;;;;
Add or remove columns for the current table. To change the column order, drag and drop a field. Column names can also be customized.;Voeg kolommen toe of verwijder ze voor de huidige tabel. Sleep een veld om de kolomvolgorde te wijzigen. Kolomnamen kunnen ook worden aangepast.;;;;
Column options;Kolomopties;;;;
Enter the name of this preference preset. This name will be used when using multiple preference presets on a single table.;Voer de naam van deze voorkeursvoorinstelling in. Deze naam wordt gebruikt wanneer u meerdere voorkeursvoorinstellingen op één tabel gebruikt.;;;;
Preference name;Naam van voorkeur;;;;
Learn more about;Leer meer over;;;;
Learn more about the;Leer meer over de;;;;
Configuration model circular dependencies;Configuratie model cirkel redeneringen;;;;
Visualize;Visualiseren;;;;
Check Dependencies;Check afhankelijkheden;;;;
Enter a name;Voer een naam in;;;;
Enter a code;Voer een code in;;;;
Reference used by third-party integrations;Referentie gebruikt door derde partij integraties;;;;
Descriptions;Beschrijvingen;;;;
HTML Formatting;HTML opmaak;;;;
External name;Externe naam;;;;
Extended descriptions;Uitgebreide beschrijvingen;;;;
Explanation;Verklaring;;;;
Text for exporting;Tekst voor exporteren;;;;
Upload an image of yourself, or change the e-mail adres which is used to login.;Upload een afbeelding van jezelf, of verander het e-mail adres dat wordt gebruikt om in te loggen.;;;;
Change the password that is used to login into your account.;Verander het wachtwoord dat wordt gebruikt om in te loggen op je account.;;;;
Change;Verander;;;;
Add an extra layer of security to your account.;Voeg een extra laag beveiliging toe aan je account.;;;;
Enable two factor authentication;Schakel tweestapsverificatie in;;;;
Disable two factor authentication;Schakel tweestapsverificatie uit;;;;
Disable SSO;Schakel SSO uit;;;;
Enable SSO;Schakel SSO in;;;;
The following permissions have been granted to your account:;De volgende rechten zijn toegekend aan je account:;;;;
Enter a reference;Voer een referentie in;;;;
Past logins;Vorige logins;;;;
You have logged into your account from the following devices:;Je hebt ingelogd op je account vanaf de volgende apparaten:;;;;
Timestamp;Tijd;;;;
Delete account;Verwijder account;;;;
This will delete your user account. Note that once your account is deleted, it cannot be restored.;Dit verwijdert je gebruikersaccount. Let op: zodra je account is verwijderd, kan het niet worden hersteld.;;;;
Delete your account;Verwijder je account;;;;
Enter tags;Voer tags in;;;;
This option disallows a user to apply a discount on a quotation line for this feature.;Deze optie zorgt er voor dat een gebruiker geen korting toe kan passen op een offerte regel voor deze feature.;;;;
Warning;Waarschuwing;;;;
Circular dependencies could take a minute to find, do you want continue?;Cirkel redeneringen vinden kan een minuut duren, wilt u doorgaan?;;;;
Continue;Doorgaan;;;;
Circular Dependency result;Cirkel redenering resultaten;;;;
No Circular Dependencies found in the configuration model.;Geen cirkel redeneringen kunnen worden gevonden in het configuratie model.;;;;
Find circular dependencies error;Vind cirkel redeneringen foutmelding;;;;
Something went wrong while trying to find circular dependencies. Please try again later or contact support if it keeps occuring.;Er ging iets mis tijdens het vinden van cirkelredeneringen. Probeer het later opnieuw of contacteer support als het probleem zich blijft voordoen.;;;;
Mobile phone number;Mobiel telefoonnummer;Numéro de téléphone mobile;Nummer des Mobiltelefons;Mobiltelefonnummer;Numer telefonu komórkowego
Street name;Straatnaam;Nom de rue;Straßenname;Gatunamn;Nazwa ulicy

